0.01.274.592 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.02.434.982 I srv    load_model: loading model '/work/GLM-5.2-GGUF/REAP50/GLM-5.2-REAP50-Q3_K_M-00001-of-00005.gguf'
0.03.384.478 W load: special_eot_id is not in special_eog_ids - the tokenizer config may be incorrect
0.03.384.490 W load: special_eom_id is not in special_eog_ids - the tokenizer config may be incorrect
2.02.682.621 I srv    load_model: initializing, n_slots = 8, n_ctx_slot = 2048, kv_unified = 'false'
2.02.708.117 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
2.02.708.170 I srv  llama_server: model loaded
2.02.708.177 I srv  llama_server: listening on http://127.0.0.1:8080
2.30.630.013 I slot get_availabl: id  7 | task -1 | selected slot by LRU, t_last = -1
21.56.076.368 I slot print_timing: id  1 | task 13784 | n_decoded =    285, tg =  12.24 t/s, tg_3s =  12.17 t/s
21.56.652.086 I slot print_timing: id  7 | task 13643 | n_decoded =    430, tg =  12.09 t/s, tg_3s =  12.18 t/s
21.56.897.312 I slot print_timing: id  4 | task 13428 | n_decoded =    643, tg =  11.92 t/s, tg_3s =  12.19 t/s
21.57.471.289 I slot print_timing: id  0 | task 13578 | n_decoded =    504, tg =  12.02 t/s, tg_3s =  12.19 t/s
21.57.473.167 I slot print_timing: id  6 | task 12843 | n_decoded =   1225, tg =  11.87 t/s, tg_3s =  12.19 t/s
21.57.968.602 I slot print_timing: id  3 | task 13658 | n_decoded =    432, tg =  12.15 t/s, tg_3s =  12.17 t/s
21.58.380.170 I slot print_timing: id  5 | task 13411 | n_decoded =    677, tg =  11.91 t/s, tg_3s =  12.17 t/s
21.59.035.587 I slot print_timing: id  2 | task 13745 | n_decoded =    359, tg =  12.20 t/s, tg_3s =  12.17 t/s
21.59.117.647 I slot print_timing: id  1 | task 13784 | n_decoded =    322, tg =  12.23 t/s, tg_3s =  12.17 t/s
21.59.694.208 I slot print_timing: id  7 | task 13643 | n_decoded =    467, tg =  12.10 t/s, tg_3s =  12.16 t/s
21.59.950.917 I slot print_timing: id  4 | task 13428 | n_decoded =    680, tg =  11.93 t/s, tg_3s =  12.12 t/s
22.00.530.331 I slot print_timing: id  0 | task 13578 | n_decoded =    541, tg =  12.02 t/s, tg_3s =  12.10 t/s
22.00.532.209 I slot print_timing: id  6 | task 12843 | n_decoded =   1262, tg =  11.87 t/s, tg_3s =  12.10 t/s
22.01.028.648 I slot print_timing: id  3 | task 13658 | n_decoded =    469, tg =  12.15 t/s, tg_3s =  12.09 t/s
22.01.443.360 I slot print_timing: id  5 | task 13411 | n_decoded =    714, tg =  11.92 t/s, tg_3s =  12.08 t/s
22.02.022.883 I slot print_timing: id  6 | task 12843 | prompt eval time =     154.99 ms /    25 tokens (    6.20 ms per token,   161.30 tokens per second)
22.02.022.894 I slot print_timing: id  6 | task 12843 |        eval time =  107792.55 ms /  1280 tokens (   84.21 ms per token,    11.87 tokens per second)
22.02.022.903 I slot print_timing: id  6 | task 12843 |       total time =  107947.53 ms /  1305 tokens
22.02.022.905 I slot print_timing: id  6 | task 12843 |    graphs reused =      13196
22.02.023.017 I slot      release: id  6 | task 12843 | stop processing: n_tokens = 1307, truncated = 0
22.02.092.870 I slot print_timing: id  2 | task 13745 | n_decoded =    396, tg =  12.19 t/s, tg_3s =  12.10 t/s
22.02.094.155 I slot get_availabl: id  6 | task -1 | selected slot by LRU, t_last = 417453813286
22.02.137.650 I slot launch_slot_: id  6 | task 14143 | processing task, is_child = 0
22.02.396.428 I slot print_timing: id  1 | task 13784 | n_decoded =    359, tg =  12.13 t/s, tg_3s =  11.28 t/s
22.02.727.264 I slot print_timing: id  7 | task 13643 | n_decoded =    501, tg =  12.03 t/s, tg_3s =  11.21 t/s
22.02.969.684 I slot print_timing: id  4 | task 13428 | n_decoded =    714, tg =  11.90 t/s, tg_3s =  11.26 t/s
22.03.546.927 I slot print_timing: id  0 | task 13578 | n_decoded =    575, tg =  11.98 t/s, tg_3s =  11.27 t/s
22.03.710.508 I slot print_timing: id  2 | task 13745 | prompt eval time =     226.00 ms /    46 tokens (    4.91 ms per token,   203.54 tokens per second)
22.03.710.517 I slot print_timing: id  2 | task 13745 |        eval time =   34110.51 ms /   413 tokens (   82.59 ms per token,    12.11 tokens per second)
22.03.710.518 I slot print_timing: id  2 | task 13745 |       total time =   34336.52 ms /   459 tokens
22.03.710.519 I slot print_timing: id  2 | task 13745 |    graphs reused =      13210
22.03.710.618 I slot      release: id  2 | task 13745 | stop processing: n_tokens = 461, truncated = 0
22.03.791.425 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 417455500887
22.03.807.438 I slot launch_slot_: id  2 | task 14162 | processing task, is_child = 0
22.04.076.900 I slot print_timing: id  3 | task 13658 | n_decoded =    501, tg =  12.03 t/s, tg_3s =  10.50 t/s
22.04.488.816 I slot print_timing: id  5 | task 13411 | n_decoded =    746, tg =  11.85 t/s, tg_3s =  10.51 t/s
22.04.976.272 I slot print_timing: id  0 | task 13578 | prompt eval time =     243.91 ms /    62 tokens (    3.93 ms per token,   254.19 tokens per second)
22.04.976.280 I slot print_timing: id  0 | task 13578 |        eval time =   49439.40 ms /   590 tokens (   83.80 ms per token,    11.93 tokens per second)
22.04.976.281 I slot print_timing: id  0 | task 13578 |       total time =   49683.31 ms /   652 tokens
22.04.976.281 I slot print_timing: id  0 | task 13578 |    graphs reused =      13220
22.04.976.382 I slot      release: id  0 | task 13578 | stop processing: n_tokens = 654, truncated = 0
22.05.056.057 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 417456766651
22.05.078.293 I slot launch_slot_: id  0 | task 14176 | processing task, is_child = 0
22.05.469.159 I slot print_timing: id  1 | task 13784 | n_decoded =    392, tg =  12.00 t/s, tg_3s =  10.74 t/s
22.05.797.566 I slot print_timing: id  7 | task 13643 | n_decoded =    534, tg =  11.94 t/s, tg_3s =  10.75 t/s
22.05.959.293 I slot print_timing: id  3 | task 13658 | prompt eval time =     265.08 ms /    65 tokens (    4.08 ms per token,   245.20 tokens per second)
22.05.959.302 I slot print_timing: id  3 | task 13658 |        eval time =   43545.44 ms /   522 tokens (   83.42 ms per token,    11.99 tokens per second)
22.05.959.316 I slot print_timing: id  3 | task 13658 |       total time =   43810.53 ms /   587 tokens
22.05.959.318 I slot print_timing: id  3 | task 13658 |    graphs reused =      13228
22.05.959.409 I slot      release: id  3 | task 13658 | stop processing: n_tokens = 589, truncated = 0
22.06.032.218 I slot print_timing: id  4 | task 13428 | n_decoded =    747, tg =  11.84 t/s, tg_3s =  10.78 t/s
22.06.033.196 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 417457749678
22.06.053.322 I slot launch_slot_: id  3 | task 14187 | processing task, is_child = 0
22.07.213.807 I slot print_timing: id  3 | task 14187 | prompt eval time =     176.35 ms /    32 tokens (    5.51 ms per token,   181.46 tokens per second)
22.07.213.818 I slot print_timing: id  3 | task 14187 |        eval time =     984.09 ms /    13 tokens (   75.70 ms per token,    13.21 tokens per second)
22.07.213.818 I slot print_timing: id  3 | task 14187 |       total time =    1160.44 ms /    45 tokens
22.07.213.820 I slot print_timing: id  3 | task 14187 |    graphs reused =      13239
22.07.213.883 I slot      release: id  3 | task 14187 | stop processing: n_tokens = 47, truncated = 0
22.07.287.279 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 417459004153
22.07.289.845 I slot launch_slot_: id  3 | task 14202 | processing task, is_child = 0
22.07.548.877 I slot print_timing: id  5 | task 13411 | n_decoded =    779, tg =  11.80 t/s, tg_3s =  10.78 t/s
22.07.630.834 I slot print_timing: id  0 | task 14176 | prompt eval time =     221.05 ms /    53 tokens (    4.17 ms per token,   239.76 tokens per second)
22.07.630.858 I slot print_timing: id  0 | task 14176 |        eval time =    2331.44 ms /    27 tokens (   86.35 ms per token,    11.58 tokens per second)
22.07.630.859 I slot print_timing: id  0 | task 14176 |       total time =    2552.49 ms /    80 tokens
22.07.630.860 I slot print_timing: id  0 | task 14176 |    graphs reused =      13240
22.07.630.922 I slot      release: id  0 | task 14176 | stop processing: n_tokens = 82, truncated = 0
22.07.710.820 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.103 (> 0.100 thold), f_keep = 0.037
22.07.714.485 I slot launch_slot_: id  0 | task 14207 | processing task, is_child = 0
22.08.515.527 I slot print_timing: id  1 | task 13784 | n_decoded =    426, tg =  11.92 t/s, tg_3s =  11.16 t/s
22.08.597.177 I slot print_timing: id  0 | task 14207 | prompt eval time =     140.28 ms /    26 tokens (    5.40 ms per token,   185.34 tokens per second)
22.08.597.184 I slot print_timing: id  0 | task 14207 |        eval time =     742.38 ms /    10 tokens (   74.24 ms per token,    13.47 tokens per second)
22.08.597.185 I slot print_timing: id  0 | task 14207 |       total time =     882.66 ms /    36 tokens
22.08.597.186 I slot print_timing: id  0 | task 14207 |    graphs reused =      13249
22.08.597.227 I slot      release: id  0 | task 14207 | stop processing: n_tokens = 38, truncated = 0
22.08.676.594 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 417460387497
22.08.678.926 I slot launch_slot_: id  0 | task 14219 | processing task, is_child = 0
22.08.830.464 I slot print_timing: id  7 | task 13643 | n_decoded =    567, tg =  11.88 t/s, tg_3s =  10.88 t/s
22.09.081.529 I slot print_timing: id  4 | task 13428 | n_decoded =    780, tg =  11.80 t/s, tg_3s =  10.82 t/s
22.09.735.032 I slot print_timing: id  7 | task 13643 | prompt eval time =     301.45 ms /    78 tokens (    3.86 ms per token,   258.75 tokens per second)
22.09.735.045 I slot print_timing: id  7 | task 13643 |        eval time =   48647.71 ms /   578 tokens (   84.17 ms per token,    11.88 tokens per second)
22.09.735.046 I slot print_timing: id  7 | task 13643 |       total time =   48949.16 ms /   656 tokens
22.09.735.047 I slot print_timing: id  7 | task 13643 |    graphs reused =      13260
22.09.735.167 I slot      release: id  7 | task 13643 | stop processing: n_tokens = 658, truncated = 0
22.09.812.560 I slot get_availabl: id  7 | task -1 | selected slot by LCP similarity, sim_best = 0.115 (> 0.100 thold), f_keep = 0.005
22.09.834.823 I slot launch_slot_: id  7 | task 14233 | processing task, is_child = 0
22.10.623.016 I slot print_timing: id  5 | task 13411 | n_decoded =    814, tg =  11.79 t/s, tg_3s =  11.39 t/s
22.11.275.305 I slot print_timing: id  6 | task 14143 | n_decoded =    100, tg =  11.26 t/s, tg_3s =  11.26 t/s
22.11.517.192 I slot print_timing: id  1 | task 13784 | n_decoded =    461, tg =  11.90 t/s, tg_3s =  11.66 t/s
22.12.088.996 I slot print_timing: id  4 | task 13428 | n_decoded =    816, tg =  11.80 t/s, tg_3s =  11.97 t/s
22.12.739.192 I slot print_timing: id  2 | task 14162 | n_decoded =    100, tg =  11.54 t/s, tg_3s =  11.54 t/s
22.13.633.348 I slot print_timing: id  5 | task 13411 | n_decoded =    851, tg =  11.81 t/s, tg_3s =  12.29 t/s
22.14.285.166 I slot print_timing: id  6 | task 14143 | n_decoded =    137, tg =  11.53 t/s, tg_3s =  12.29 t/s
22.14.528.306 I slot print_timing: id  1 | task 13784 | n_decoded =    498, tg =  11.93 t/s, tg_3s =  12.29 t/s
22.15.100.083 I slot print_timing: id  4 | task 13428 | n_decoded =    853, tg =  11.82 t/s, tg_3s =  12.29 t/s
22.15.748.366 I slot print_timing: id  2 | task 14162 | n_decoded =    137, tg =  11.74 t/s, tg_3s =  12.30 t/s
22.15.748.687 I slot print_timing: id  3 | task 14202 | n_decoded =    100, tg =  12.07 t/s, tg_3s =  12.07 t/s
22.16.317.502 I slot print_timing: id  5 | task 13411 | prompt eval time =     179.65 ms /    33 tokens (    5.44 ms per token,   183.69 tokens per second)
22.16.317.512 I slot print_timing: id  5 | task 13411 |        eval time =   74761.93 ms /   884 tokens (   84.57 ms per token,    11.82 tokens per second)
22.16.317.513 I slot print_timing: id  5 | task 13411 |       total time =   74941.58 ms /   917 tokens
22.16.317.514 I slot print_timing: id  5 | task 13411 |    graphs reused =      13337
22.16.317.621 I slot      release: id  5 | task 13411 | stop processing: n_tokens = 921, truncated = 0
22.16.384.230 I slot print_timing: id  7 | task 14233 | prompt eval time =     130.14 ms /    23 tokens (    5.66 ms per token,   176.73 tokens per second)
22.16.384.251 I slot print_timing: id  7 | task 14233 |        eval time =    6419.22 ms /    80 tokens (   80.24 ms per token,    12.46 tokens per second)
22.16.384.252 I slot print_timing: id  7 | task 14233 |       total time =    6549.36 ms /   103 tokens
22.16.384.253 I slot print_timing: id  7 | task 14233 |    graphs reused =      13337
22.16.384.314 I slot      release: id  7 | task 14233 | stop processing: n_tokens = 105, truncated = 0
22.16.384.337 I slot get_availabl: id  5 | task -1 | selected slot by LCP similarity, sim_best = 0.185 (> 0.100 thold), f_keep = 0.005
22.16.415.710 I slot launch_slot_: id  5 | task 14314 | processing task, is_child = 0
22.16.568.004 I slot get_availabl: id  7 | task -1 | selected slot by LRU, t_last = 417468174583
22.16.568.164 I slot launch_slot_: id  7 | task 14316 | processing task, is_child = 0
22.17.315.850 I slot print_timing: id  0 | task 14219 | n_decoded =    100, tg =  11.78 t/s, tg_3s =  11.78 t/s
22.17.317.759 I slot print_timing: id  6 | task 14143 | n_decoded =    170, tg =  11.39 t/s, tg_3s =  10.88 t/s
22.17.561.054 I slot print_timing: id  1 | task 13784 | n_decoded =    531, tg =  11.86 t/s, tg_3s =  10.88 t/s
22.18.132.674 I slot print_timing: id  4 | task 13428 | n_decoded =    886, tg =  11.79 t/s, tg_3s =  10.88 t/s
22.18.787.142 I slot print_timing: id  2 | task 14162 | n_decoded =    170, tg =  11.56 t/s, tg_3s =  10.86 t/s
22.18.787.480 I slot print_timing: id  3 | task 14202 | n_decoded =    133, tg =  11.74 t/s, tg_3s =  10.86 t/s
22.20.331.451 I slot print_timing: id  0 | task 14219 | n_decoded =    137, tg =  11.91 t/s, tg_3s =  12.27 t/s
22.20.333.417 I slot print_timing: id  6 | task 14143 | n_decoded =    207, tg =  11.54 t/s, tg_3s =  12.27 t/s
22.20.576.364 I slot print_timing: id  1 | task 13784 | n_decoded =    568, tg =  11.89 t/s, tg_3s =  12.27 t/s
22.21.144.557 I slot print_timing: id  4 | task 13428 | n_decoded =    923, tg =  11.81 t/s, tg_3s =  12.28 t/s
22.21.387.649 I slot print_timing: id  3 | task 14202 | prompt eval time =     171.89 ms /    30 tokens (    5.73 ms per token,   174.53 tokens per second)
22.21.387.659 I slot print_timing: id  3 | task 14202 |        eval time =   13925.89 ms /   165 tokens (   84.40 ms per token,    11.85 tokens per second)
22.21.387.659 I slot print_timing: id  3 | task 14202 |       total time =   14097.77 ms /   195 tokens
22.21.387.665 I slot print_timing: id  3 | task 14202 |    graphs reused =      13391
22.21.387.715 I slot      release: id  3 | task 14202 | stop processing: n_tokens = 197, truncated = 0
22.21.463.438 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.107 (> 0.100 thold), f_keep = 0.015
22.21.471.870 I slot launch_slot_: id  3 | task 14374 | processing task, is_child = 0
22.21.792.060 I slot print_timing: id  2 | task 14162 | n_decoded =    206, tg =  11.63 t/s, tg_3s =  11.98 t/s
22.23.336.680 I slot print_timing: id  0 | task 14219 | n_decoded =    173, tg =  11.92 t/s, tg_3s =  11.98 t/s
22.23.338.584 I slot print_timing: id  6 | task 14143 | n_decoded =    243, tg =  11.60 t/s, tg_3s =  11.98 t/s
22.23.581.015 I slot print_timing: id  1 | task 13784 | n_decoded =    604, tg =  11.89 t/s, tg_3s =  11.98 t/s
22.24.153.380 I slot print_timing: id  4 | task 13428 | n_decoded =    959, tg =  11.81 t/s, tg_3s =  11.96 t/s
22.24.808.085 I slot print_timing: id  2 | task 14162 | n_decoded =    243, tg =  11.72 t/s, tg_3s =  12.27 t/s
22.24.971.394 I slot print_timing: id  5 | task 14314 | n_decoded =    100, tg =  11.90 t/s, tg_3s =  11.90 t/s
22.25.053.647 I slot print_timing: id  7 | task 14316 | n_decoded =    100, tg =  12.27 t/s, tg_3s =  12.27 t/s
22.26.193.157 I slot print_timing: id  7 | task 14316 | prompt eval time =     336.04 ms /    84 tokens (    4.00 ms per token,   249.97 tokens per second)
22.26.193.170 I slot print_timing: id  7 | task 14316 |        eval time =    9288.92 ms /   114 tokens (   81.48 ms per token,    12.27 tokens per second)
22.26.193.170 I slot print_timing: id  7 | task 14316 |       total time =    9624.96 ms /   198 tokens
22.26.193.177 I slot print_timing: id  7 | task 14316 |    graphs reused =      13446
22.26.193.251 I slot      release: id  7 | task 14316 | stop processing: n_tokens = 201, truncated = 0
22.26.270.990 I slot get_availabl: id  7 | task -1 | selected slot by LRU, t_last = 417477983521
22.26.278.611 I slot launch_slot_: id  7 | task 14433 | processing task, is_child = 0
22.26.458.618 I slot print_timing: id  0 | task 14219 | n_decoded =    210, tg =  11.91 t/s, tg_3s =  11.85 t/s
22.26.460.512 I slot print_timing: id  6 | task 14143 | n_decoded =    280, tg =  11.64 t/s, tg_3s =  11.85 t/s
22.26.628.348 I slot print_timing: id  1 | task 13784 | n_decoded =    640, tg =  11.89 t/s, tg_3s =  11.81 t/s
22.27.204.976 I slot print_timing: id  4 | task 13428 | n_decoded =    995, tg =  11.81 t/s, tg_3s =  11.80 t/s
22.27.861.696 I slot print_timing: id  2 | task 14162 | n_decoded =    279, tg =  11.73 t/s, tg_3s =  11.79 t/s
22.28.025.289 I slot print_timing: id  5 | task 14314 | n_decoded =    136, tg =  11.87 t/s, tg_3s =  11.79 t/s
22.29.497.730 I slot print_timing: id  0 | task 14219 | n_decoded =    247, tg =  11.95 t/s, tg_3s =  12.17 t/s
22.29.499.617 I slot print_timing: id  6 | task 14143 | n_decoded =    317, tg =  11.70 t/s, tg_3s =  12.17 t/s
22.29.662.415 I slot print_timing: id  1 | task 13784 | n_decoded =    677, tg =  11.90 t/s, tg_3s =  12.19 t/s
22.29.827.069 I slot print_timing: id  3 | task 14374 | n_decoded =    100, tg =  12.19 t/s, tg_3s =  12.19 t/s
22.30.237.300 I slot print_timing: id  4 | task 13428 | n_decoded =   1032, tg =  11.82 t/s, tg_3s =  12.20 t/s
22.30.894.248 I slot print_timing: id  2 | task 14162 | n_decoded =    316, tg =  11.78 t/s, tg_3s =  12.20 t/s
22.31.059.805 I slot print_timing: id  5 | task 14314 | n_decoded =    173, tg =  11.94 t/s, tg_3s =  12.19 t/s
22.32.538.606 I slot print_timing: id  0 | task 14219 | n_decoded =    284, tg =  11.98 t/s, tg_3s =  12.17 t/s
22.32.540.496 I slot print_timing: id  6 | task 14143 | n_decoded =    354, tg =  11.74 t/s, tg_3s =  12.17 t/s
22.32.702.944 I slot print_timing: id  1 | task 13784 | n_decoded =    714, tg =  11.92 t/s, tg_3s =  12.17 t/s
22.32.704.899 I slot print_timing: id  7 | task 14433 | prompt eval time =     182.34 ms /    35 tokens (    5.21 ms per token,   191.95 tokens per second)
22.32.704.904 I slot print_timing: id  7 | task 14433 |        eval time =    6243.92 ms /    77 tokens (   81.09 ms per token,    12.33 tokens per second)
22.32.704.905 I slot print_timing: id  7 | task 14433 |       total time =    6426.26 ms /   112 tokens
22.32.704.907 I slot print_timing: id  7 | task 14433 |    graphs reused =      13520
22.32.704.981 I slot      release: id  7 | task 14433 | stop processing: n_tokens = 114, truncated = 0
22.32.783.101 I slot get_availabl: id  7 | task -1 | selected slot by LRU, t_last = 417484495250
22.32.787.820 I slot launch_slot_: id  7 | task 14512 | processing task, is_child = 0
22.33.020.789 I slot print_timing: id  3 | task 14374 | n_decoded =    137, tg =  12.02 t/s, tg_3s =  11.59 t/s
22.33.272.201 I slot print_timing: id  4 | task 13428 | n_decoded =   1067, tg =  11.82 t/s, tg_3s =  11.53 t/s
22.33.927.110 I slot print_timing: id  2 | task 14162 | n_decoded =    351, tg =  11.76 t/s, tg_3s =  11.54 t/s
22.34.092.569 I slot print_timing: id  5 | task 14314 | n_decoded =    208, tg =  11.87 t/s, tg_3s =  11.54 t/s
22.34.832.877 I slot print_timing: id  7 | task 14512 | prompt eval time =     234.34 ms /    52 tokens (    4.51 ms per token,   221.90 tokens per second)
22.34.832.888 I slot print_timing: id  7 | task 14512 |        eval time =    1810.69 ms /    23 tokens (   78.73 ms per token,    12.70 tokens per second)
22.34.832.889 I slot print_timing: id  7 | task 14512 |       total time =    2045.02 ms /    75 tokens
22.34.832.890 I slot print_timing: id  7 | task 14512 |    graphs reused =      13541
22.34.832.958 I slot      release: id  7 | task 14512 | stop processing: n_tokens = 77, truncated = 0
22.34.911.062 I slot get_availabl: id  7 | task -1 | selected slot by LRU, t_last = 417486623227
22.34.914.661 I slot launch_slot_: id  7 | task 14537 | processing task, is_child = 0
22.35.610.818 I slot print_timing: id  0 | task 14219 | n_decoded =    318, tg =  11.87 t/s, tg_3s =  11.07 t/s
22.35.612.693 I slot print_timing: id  6 | task 14143 | n_decoded =    388, tg =  11.68 t/s, tg_3s =  11.07 t/s
22.35.775.790 I slot print_timing: id  1 | task 13784 | n_decoded =    748, tg =  11.88 t/s, tg_3s =  11.06 t/s
22.36.022.600 I slot print_timing: id  3 | task 14374 | n_decoded =    172, tg =  11.95 t/s, tg_3s =  11.66 t/s
22.36.352.091 I slot print_timing: id  4 | task 13428 | n_decoded =   1103, tg =  11.81 t/s, tg_3s =  11.69 t/s
22.37.007.491 I slot print_timing: id  2 | task 14162 | n_decoded =    387, tg =  11.75 t/s, tg_3s =  11.69 t/s
22.37.171.252 I slot print_timing: id  5 | task 14314 | n_decoded =    244, tg =  11.84 t/s, tg_3s =  11.69 t/s
22.38.642.966 I slot print_timing: id  0 | task 14219 | n_decoded =    355, tg =  11.91 t/s, tg_3s =  12.20 t/s
22.38.644.859 I slot print_timing: id  6 | task 14143 | n_decoded =    425, tg =  11.73 t/s, tg_3s =  12.20 t/s
22.38.807.316 I slot print_timing: id  1 | task 13784 | n_decoded =    785, tg =  11.89 t/s, tg_3s =  12.21 t/s
22.39.053.799 I slot print_timing: id  3 | task 14374 | n_decoded =    209, tg =  11.99 t/s, tg_3s =  12.21 t/s
22.39.383.762 I slot print_timing: id  4 | task 13428 | n_decoded =   1140, tg =  11.82 t/s, tg_3s =  12.20 t/s
22.40.039.606 I slot print_timing: id  2 | task 14162 | n_decoded =    424, tg =  11.79 t/s, tg_3s =  12.20 t/s
22.40.203.482 I slot print_timing: id  5 | task 14314 | n_decoded =    281, tg =  11.89 t/s, tg_3s =  12.20 t/s
22.41.511.522 I slot print_timing: id  5 | task 14314 | prompt eval time =     147.90 ms /    22 tokens (    6.72 ms per token,   148.75 tokens per second)
22.41.511.533 I slot print_timing: id  5 | task 14314 |        eval time =   24943.85 ms /   297 tokens (   83.99 ms per token,    11.91 tokens per second)
22.41.511.534 I slot print_timing: id  5 | task 14314 |       total time =   25091.75 ms /   319 tokens
22.41.511.535 I slot print_timing: id  5 | task 14314 |    graphs reused =      13618
22.41.511.613 I slot      release: id  5 | task 14314 | stop processing: n_tokens = 323, truncated = 0
22.41.576.201 I slot get_availabl: id  5 | task -1 | selected slot by LRU, t_last = 417493301883
22.41.588.041 I slot launch_slot_: id  5 | task 14618 | processing task, is_child = 0
22.41.802.824 I slot print_timing: id  0 | task 14219 | n_decoded =    392, tg =  11.89 t/s, tg_3s =  11.71 t/s
22.41.804.860 I slot print_timing: id  6 | task 14143 | n_decoded =    462, tg =  11.72 t/s, tg_3s =  11.71 t/s
22.41.889.803 I slot print_timing: id  1 | task 13784 | n_decoded =    821, tg =  11.88 t/s, tg_3s =  11.68 t/s
22.42.056.740 I slot print_timing: id  3 | task 14374 | n_decoded =    244, tg =  11.94 t/s, tg_3s =  11.66 t/s
22.42.385.599 I slot print_timing: id  4 | task 13428 | n_decoded =   1175, tg =  11.82 t/s, tg_3s =  11.66 t/s
22.43.039.763 I slot print_timing: id  2 | task 14162 | n_decoded =    459, tg =  11.78 t/s, tg_3s =  11.67 t/s
22.43.122.589 I slot print_timing: id  5 | task 14618 | prompt eval time =     216.45 ms /    46 tokens (    4.71 ms per token,   212.52 tokens per second)
22.43.122.600 I slot print_timing: id  5 | task 14618 |        eval time =    1318.06 ms /    17 tokens (   77.53 ms per token,    12.90 tokens per second)
22.43.122.600 I slot print_timing: id  5 | task 14618 |       total time =    1534.51 ms /    63 tokens
22.43.122.602 I slot print_timing: id  5 | task 14618 |    graphs reused =      13633
22.43.122.669 I slot      release: id  5 | task 14618 | stop processing: n_tokens = 65, truncated = 0
22.43.186.963 I slot get_availabl: id  5 | task -1 | selected slot by LRU, t_last = 417494912939
22.43.190.175 I slot launch_slot_: id  5 | task 14637 | processing task, is_child = 0
22.43.450.773 I slot print_timing: id  7 | task 14537 | n_decoded =    100, tg =  12.00 t/s, tg_3s =  12.00 t/s
22.44.844.643 I slot print_timing: id  0 | task 14219 | n_decoded =    428, tg =  11.88 t/s, tg_3s =  11.84 t/s
22.44.846.530 I slot print_timing: id  6 | task 14143 | n_decoded =    498, tg =  11.73 t/s, tg_3s =  11.84 t/s
22.44.926.881 I slot print_timing: id  1 | task 13784 | n_decoded =    857, tg =  11.88 t/s, tg_3s =  11.85 t/s
22.45.091.650 I slot print_timing: id  3 | task 14374 | n_decoded =    280, tg =  11.93 t/s, tg_3s =  11.86 t/s
22.45.419.077 I slot print_timing: id  4 | task 13428 | n_decoded =   1211, tg =  11.82 t/s, tg_3s =  11.87 t/s
22.46.074.018 I slot print_timing: id  2 | task 14162 | n_decoded =    495, tg =  11.79 t/s, tg_3s =  11.86 t/s
22.46.485.771 I slot print_timing: id  7 | task 14537 | n_decoded =    137, tg =  12.05 t/s, tg_3s =  12.19 t/s
22.47.877.919 I slot print_timing: id  0 | task 14219 | n_decoded =    465, tg =  11.91 t/s, tg_3s =  12.20 t/s
22.47.879.802 I slot print_timing: id  6 | task 14143 | n_decoded =    535, tg =  11.76 t/s, tg_3s =  12.20 t/s
22.47.960.542 I slot print_timing: id  1 | task 13784 | n_decoded =    894, tg =  11.89 t/s, tg_3s =  12.20 t/s
22.48.124.951 I slot print_timing: id  3 | task 14374 | n_decoded =    317, tg =  11.96 t/s, tg_3s =  12.20 t/s
22.48.125.583 I slot print_timing: id  5 | task 14637 | prompt eval time =     172.97 ms /    30 tokens (    5.77 ms per token,   173.44 tokens per second)
22.48.125.586 I slot print_timing: id  5 | task 14637 |        eval time =    4762.42 ms /    59 tokens (   80.72 ms per token,    12.39 tokens per second)
22.48.125.587 I slot print_timing: id  5 | task 14637 |       total time =    4935.39 ms /    89 tokens
22.48.125.588 I slot print_timing: id  5 | task 14637 |    graphs reused =      13690
22.48.125.636 I slot      release: id  5 | task 14637 | stop processing: n_tokens = 91, truncated = 0
22.48.189.667 I slot get_availabl: id  5 | task -1 | selected slot by LRU, t_last = 417499915905
22.48.193.875 I slot launch_slot_: id  5 | task 14698 | processing task, is_child = 0
22.48.449.353 I slot print_timing: id  4 | task 13428 | n_decoded =   1246, tg =  11.81 t/s, tg_3s =  11.55 t/s
22.49.119.018 I slot print_timing: id  2 | task 14162 | n_decoded =    530, tg =  11.77 t/s, tg_3s =  11.49 t/s
22.49.532.466 I slot print_timing: id  7 | task 14537 | n_decoded =    172, tg =  11.93 t/s, tg_3s =  11.49 t/s
22.50.930.436 I slot print_timing: id  0 | task 14219 | n_decoded =    500, tg =  11.88 t/s, tg_3s =  11.47 t/s
22.50.932.319 I slot print_timing: id  6 | task 14143 | n_decoded =    570, tg =  11.74 t/s, tg_3s =  11.47 t/s
22.51.013.345 I slot print_timing: id  1 | task 13784 | n_decoded =    929, tg =  11.88 t/s, tg_3s =  11.46 t/s
22.51.179.631 I slot print_timing: id  3 | task 14374 | n_decoded =    352, tg =  11.91 t/s, tg_3s =  11.46 t/s
